id,tier,c_reason,nc_any,nc_isolation_stage,m1_cells,m2_base_medium,m3_serum_enrichment,m4_additives,m5_timeline,m6_inoculum_only_diff,match_basis,control_cpe_reported,control_cpe_claimed_negative,control_images,positive_control_present,ambiguous,primary_experiment,endpoint_for_control_comparison,scorer,score_date,notes
VI2,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,yes,no,Primary Isolation from bat faecal PCR-positive samples on Vero E6,CPE,grok-primary,2026-07-20,No culture-level mock/uninfected NC for Isolation; neutralization uses serum NC; ACE2 assay uses HeLa without ACE2
VI4,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation from rat lung on Vero E6,IFA antigen (no CPE),grok-primary,2026-07-20,No mock/uninfected NC; "fresh normal cells" used only for co-culture passage mixing not parallel NC
VI8,B,NA,yes,yes,yes,unknown,unknown,unknown,unknown,yes,NA,yes,yes,yes,no,yes,Primary Isolation then infection characterization on Vero E6/Huh7,CPE / IF,grok-primary,2026-07-20,Mock virus panels in Extended Data Fig. 6; Isolation methods do not define mock well medium; ambiguous A vs B — scored B
VI13,B,NA,yes,yes,yes,unknown,unknown,unknown,yes,yes,NA,yes,yes,yes,no,yes,Primary Isolation limiting-dilution on Vero CCL-81,CPE,grok-primary,2026-07-20,Results/Fig1 state mock and no CPE; methods describe specimen dilutions not explicit mock preparation/medium identity
VI14,B,NA,yes,yes,yes,unknown,unknown,unknown,unknown,yes,NA,yes,yes,yes,no,no,Primary Isolation of HRSV on Hep-2; mock used for IFA/CPE figure,CPE / IFA,grok-primary,2026-07-20,Uninfected (mock) named for IFA and Fig.1; Isolation medium 2% FBS stated for inoculated cultures only not explicitly for mock
VI15,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation from blood on C6/36 three blind passages,Plaque titer (not CPE),grok-primary,2026-07-20,No mock/uninfected/control cultures in Isolation or growth kinetics
VI16,A,NA,yes,yes,yes,yes,yes,yes,yes,yes,explicit,yes,yes,yes,yes,no,Primary Isolation shell-vial from corneal scrapings; non-viral keratitis specimens as controls,CPE / IF foci,grok-primary,2026-07-20,Non-viral-origin scrapings inoculated with same adsorption and 1% FBS maintenance protocol; none yielded HSV-1
VI18,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Vero serial passage adaptation of influenza,Plaque size / growth kinetics,grok-primary,2026-07-20,No mock/uninfected culture NC described
VI23,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation from clinical specimens on Vero lines,CPE,grok-primary,2026-07-20,No mock/uninfected culture NC in Isolation methods
VI24,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Isolation from clinical swabs on Vero +/- AmB,CPE / HA,grok-primary,2026-07-20,No Isolation-stage mock; "control cells/culture" refer to AmB-absent experimental arms or antibody isotype NCs
